pLiirjiNG , @SADHUSNG
ALIKHAN , SOLIERS
With , With
th@@@@@@@@e@ , theConquered
Stana@rds , Lionathis
@@@@ , Feet
Banne , Scene
@Myconda , APARTMEN
Chtte@@@@ld , inthePALACE
@Bednor@@@e@ , MarinariScen
@@ptamCbog , THEENTNCET
Henioo , MYSORE
a@ggerlMaiotta , arinariMrsWOOD
@it@ai@@ajeri , lateMissPATON
Severndoog , Hav@ingbee
@@@ , aga
Se@ri@ngpat@mMBASSAORSOFFICRS , receivedwithtutmostentsiasmby
of , an
@@STATE , Audienc
@@@@and , crowded
of , to
the , the
HOUSOLD , roofwil
Da@ning , havethe
@@@Girs , honouro
@@Singing , repeating
GirsLadies , theCracter
of , of
@@@@@t@@h@@@@eCou , RosettaThisEveing
and , and
of , of
theHar@em , @peformin
EuuchsSlve@s , onSatuaynext
nd , by
Palanqu@in , particular
Be@arers , Desireth
@@@@HYDER , Character
@AU , for
@and@@@ , Mandane
T@HEEMIL , TheStang
A , M
YBANDS , Mcread
@@@AVESRRING , MrsHallrMiss
P@@@@REST@@@@SONQUERED , PhillipsTuesdaSheridan
STATEMr@@ , Comicerao
@FUDLE@@ , TheDUENN
FATXMA , VIVANT
@o , RE
an , ET
@E@LEPNT , REGINANo
Bodies , Mo@ney
@oJhrtjuhs , toeRetrned
Mratta , JTABBY
Tr@@oom , Printer
@@@@the , Theatre
@@Pa@@@@r@ , RoyalDrury
ta@@ , Lane
Tribe , Scene
usehold , TheTent
@Gard@ADH , ofHydeAli
@@@B , Stan
S@@@ORS , SceneTh
@@@@@Wth , VALLEYof
the , the
@@C@@nquee@d , LICANStaneld
a , @
M@rs , MPHA
@WO@@@@@O@D , PROCESSIONI
@late , WHICH
@@@Mss , WILLBE
PAT@O@@@@N , INTRODUCED
@H@vingben , THETROOSOF
again , HYDER
@reeive , ALIKHAN
with , With
the , the
ut@@@most , Standards
en@husiasm , andBanners
by , of
tothe@roof , Chttelroog
willhav , @Bedore
th@@@ , China
honou , patam
ofreptingtheCractero , Cor@gHeniore@Maggeri
M@@osetia , Mailcotta
@@@@@thi , Ramajeri
@Eveningan , Seve@rndog
o , @
per@@@formin , Seringapatam
@onSaturda , AMBSSADORS
nextby , @OFFRS
paricula , @ofSTATE
Desie , @ando
the , the
Charactero , @@HOUSEHOD
Jrlandanef , @@Dancin@g
@The , othe
STRANER , Courtan
ThStaner , ofheHaem
@@MrMrea@dy , EunusSlaves
Mm , an
PallorMiss , Pa@l@aui@n
Phillip , Bearers
@suurdiy , Saturday
by , by
particular , particular
Desire , Desire
tlis , t@he
opera , Opera
of , of
ARTAIEEXES , ART@XERXES
Arlaxcrxes , Artaxerxes
Mr , Mr
Templeton , Templeton
Aibaces , Arbaces
Mr , Mr
Wood , Wood
Mr , Mr
Lennox , Lennox
Pupil , Pupil
cf , of
Signor , Signor
De , De
Begnis , Begnis
his , his
First , First
Appearance , Appearance
on , on
the , the
Stage , Stage
Mandane , Mandane
Firs , @Mrs
Wood , Wood
Monday , Monday
will , will
be , be
performed , performed
Shakspeares , Shakspeares
H@htorieal , Historical
Tisgrdy , Tragedy
ofR , of@
JQ , @I
OHN , JHN
King , King
John , John
Mr , Mr
Macready , Macready
Faideonbride , Fanlconbride
Mr , Mr
Wltack , Wllack
Hubert , Hubert
Mr , Mr
Cooper , Cooper
Prince , Prince
Arthur , Arthur
Miss , Miss
Kenneth , Kenneth
her , her
first , first
appearance , appearance
in , in
that , that
Character , Character
The , The
LaIj , La@y
Constance , Constance
Mis , Mis
Phillips , Phillips
her , her
first , first
appearance , appearance
in , in
that , that
