lAST , LAST
Mr , Mr
T , T
COOKE , COOKE
Pielro , Pietro
Mr , Mr
BEDFORD , BEDFORD
Elvira , Elvira
Bride , Bride
oj , of
Alphonso , Alphonso
Miss , Miss
BYFLD , BYFLD
Fenella , Fenella
Msasani@rMos , M@asaniellos
Sister , Sister
Mrs , Mrs
W , W
BARRYMORE , BARRYMORE
A , A
ie , @e
Pere , Fare
in , in
Iwo , @wo
Acts , Acts
culled , called
NETTLEWIG , NETTLEWIG
HALL , HALL
or , or
TEN , TEN
to , to
ONE , ONE
taill , @@ill
be , be
acted , acted
on , on
Thursday , Thursday
the , the
th , th
ot , of
Aprrl , April
A , A
new , new
Tragie , Tragie
Drama , Drama
in , in
Acli , Acts
rnt@uled , entitled
The , The
PLEDGE , PLEDGE
or , or
CASTILXAN , CASTILIAN
HONOUR , HONOUR
Will , Will
be , be
produced , produced
on , on
riday , riday
the , the
th , th
of , of
April , April
A , A
new , new
Oprraic , Operaic
uranu , Drama
in , in
Two , Two
Acts , Acts
entitled , entitled
The , The
LEGION , LEGION
ofHONOUR , ofHONOUR
ill , ill
be , be
produed , produed
on , on
Saturday , Saturday
the , the
th , th
of , of
April , April
A , A
new , new
HISTORICAL , HISTORICAL
PLAT , PLAY
in , in
Five , Five
Acts , Acts
By , By
the , the
Author , Author
of , of
Virgiuics , VIRGINIUS
@Wiumt , WLLIAM
Tati , T@EL
c , c
is , is
in , in
active , active
pnparation , prparation
On , On
Eastermo , E@@@ASER
rdaPIZARRO , MODPIZARRO
After , After
which , which
will , will
tie , @be
p@mducet , produced
A , A
NEW , NEW
GRAND , GRAND
TALE , TALE
OF , OF
ENCHANTMENT , ENCHANTMENT
entitled , entitled
THE , THE
ICE , ICE
WITCH , WITCH
Or , Or
The , The
FKOZEJT , FROZE@N
HJUro , H@AND
With , With
now , new
Music , Music
Scenery , Scenery
Machinery , Machinery
Dresses , Dresses
and , and
Decorations , Decorations
@@Tuesday@@@@@@@@@@@@@@ , WednesdayMACBETHTheatre
@@@@@ , Royal
@r@r@@@@@@@@@@@@@@@@@@T@@@@@@@@@@T@@@@M@@@@@@@@@@@@@@@@@@@@@@@ , DruryLaneThisEveningSATURDAYMARCHTheirMajestiesServantswillact
@@@@@I@@@@@@@@@@@@@H@@@JT@@@@@@@@@@@@@@@@@ , RossiisGRANDOPERAofHOFERTuesdayWILLIAMTELL
William , William
Tell , Tell
Mr , Mr
Macieady , Macready
With , With
High , High
Ways , Ways
and , and
By , By
Ways , Ways
Narcissus , Narcissus
Stubble , Stubble
Mr , Mr
ListonWednesday , Liston@@@@@@@@@
MACBETHthursday , @@@@@T@@hursday
The , The
BRIGAND , BRIGAND
alensandro , @lessandro
Wnssaroni , Massaroni
Mr , Mr
Wallpok , Wallack
After , After
which , which
a , a
New , New
farce , Farce
in , in
Acts , Acts
called , called
NETTLEWIG , NETTLEWIG
HALL , HALL
or , Or
TEN , TEN
to , to
ONE , ONE
The , The
principal , principal
Characters , Characters
by , by
Mr , Mr
Farren , Farren
Air , @Mr
Vintng , Vin@ng
Mr , Mr
Harley , Harley
tar , @Mr
M , H
Wailaek , WaIlack
Bedford , Bedford
Mr , Mr
Taylenre , Tayleure
Mrs , Mrs
Wajlett , Waylett
MrsOrger , MrsOrger
Mr , Mr
Jones , Jones
Mrs , Mrs
Uiuad , Broad
Fridiy , Friday
A , A
New , New
Tragic , Tragic
D@uma , Drama
in , in
Acts , Acts
entitled , entitled
The , The
PLEDGE , PLEDGE
or , or
CAST@HJAN , CASTILIAN
HONOUR , HONOUR
The , The
principal , principal
Character , Character
by , by
Mr , Mr
Maercady , Maeready
Mr , Mr
Wallacfc , Wallac@k
tai , @Mr
Cooper , Cooper
Mr , Mr
J , J
V@mug , Viing
Mr , Mr
Webster , Webster
Mr , Mr
Thompsou , Thompson
Mr , Mr
Younge , Younge
Mr , Mr
Bland , Bland
Mr , Mr
Hammerton , Hammerton
Mrs , Mrs
C , C
Jones , Jones
and , and
Miss , Miss
Phillips , Phillips
SaturdayA , SaturdayA
new , new
Operatic , Operatic
Drama , Drama
in , in
Ats , Ats
called , called
The , The
LEGION , LEGION
Of , of
HONOUR , HONOUR
The , The
principal , principal
Characters , Characters
by , by
Mr , Mr
Fallen , Farren
Mr , Mr
Dowton , Dowton
tar , @Mr
Litton , Liston
Mr , Mr
Haley , Haley
Vr , @r
Bland , Bland
Mrs , Mrs
Waylett , Waylett
Mrr , Mrs
Orger , Orger
Miss , Miss
Poole , Poole
After , After
which , which
FARCE , FARCE
Ats , Ats
@IVAii , VIVANT
@@t , REX
ET , ET
REGINA , REGINA
N@oW , Nooe
b , b
rtrrd , rturd
J , J
TStij , Tabby
@twiw , Pnter
@@@@@@ , Theatr
Royal , Royal
Diury , Drury
