@me , HIG
small , small
drop , drop
of , of
gin , gin
But , But
I , I
can , can
prove , prove
all , all
their , their
illusage , illusage
They , They
never , never
will , will
find , find
any , any
use , use
Remember , Remember
whats , whats
good , good
for , for
the , the
gander , gander
Must , Must
always , always
be , be
good , good
for , for
the , the
goose , goose
Oh , Oh
if , if
I , I
had , had
a , a
wife , wife
that , that
would , would
love , love
me , me
It , It
would , would
free , free
me , me
from , from
sorrow , sorrow
and , and
pain , pain
If , If
displeased , displeased
shed , shed
often , often
reprove , reprove
me , me
But , But
IdneverlivesingleagainIoftentimes , Id@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
thinkofmymotherAkindlovingcreaturewassheAndImcertaintheresmanyanotherSogoodkindandvirtuousmaybeIgoesmopingabout , @@@n@@@@@@@@@e@@@@@@@@v@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@e@@@@@@@@@@@@@@@@r@@@@@@@@@@@@@@@@@@@@@@@@@@
likeadonkeyNocomforthaveIwhenathomeButlooksassedate , li@@@@@@@@@@@@@@@@@@@@v@@@@@@@@@@@@@@@@@@@@@@@@@@@e
asamonkeyStuckupinacomeraloneButifIhadawifegayandhandyIwouldcomfortheralldayandnightSheshouldsmoke , @s@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@i@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@n@g@@@@@@@@@l@@@@@e
acigaranddrinkbrandvAndknockmeaboutwhenshelikedHIGHGERMANY , a@@g@@a@@@@i@@@@@@@@@@@@@@@@@@@@@@@@@@n@@@@@@@@@@@@@@@@@@@
Polly , Polly
love , love
O , O
Polly , Polly
love , love
the , the
route , route
it , it
is , is
begun , begun
And , And
we , we
must , must
away , away
at , at
the , the
sound , sound
of , of
the , the
drum , drum
Go , Go
dress , dress
yourself , yourself
in , in
all , all
your , your
best , best
and , and
come , come
along , along
with , with
me , me
And , And
Ill , Ill
take , take
you , you
to , to
the , the
wars , wars
in , in
High , High
Germany , Germany
my , my
dearest , dearest
Billy , Billy
mind , mind
what , what
you , you
say , say
My , My
feet , feet
they , they
are , are
sore , sore
and , and
cannot , cannot
march , march
away , away
Besides , Besides
my , my
dearest , dearest
Billy , Billy
I , I
am , am
with , with
child , child
by , by
thee , thee
And , And
not , not
fitting , fitting
for , for
the , the
wars , wars
in , in
High , High
Germany , Germany
@wil@l@@@@ , PollyloveO
@@buy , Polly
yo@@ , love
a , I
horse , lo@ve
@if , you
@ray , very
Poll , well
@@can , There
@r@de , arefe
And , in@
many , this
@@a@ng , placmy
night , Polly
@@I , can
@will , excel
rch , But
byher , @@hen
sideWel , yourabs
drin , born
atever , @@ove@
alehouse , andsits@
thateer , @@smlng
we , on
come , your
nigh , knee
And , You
well , w@ll
travel , t@hink
on , on
@the , your
road , Bill
sweet , @that
Poly , isin
@and , High
@@@@@@I , Germany
C , O
Polly , Polly
love , love
O , O
Polly , Polly
love , love
@@@I , pray
love , give
you , @me
very , your
well , hand
There , @@And
arefew , proise
inhislaee , yowilmarr
my , me
Polly , @when
can , @@I
excel , come@
But , old
whenyour , @@Enland
bbys , Igie
bo@n , youm
love , righ
@andss , hand@I
smilinon , @wil@lot
yourknee , @mar@rie
will , Till
thinkon , @@@@@ou
your , come
Billy , @from
th@tis , thewrs
in , in
High , High
Germany , Germany
Do , Oh
in , if
@ondr , Ihada
@@@vlley , wifethat
@Ill , wold
make , love
fo , me
@hiabedAnd , Shehuldind
the , @me
sweeestof , bothlovng
rossshehis , andkndwuld
c@o@velet , clothehe@
pinks , silks
and , and
@seetviets , insatnsAnd
@Iill , buher
@hi@sfee , crinoine
@here , AJack
the@@fihes , Shepprdhat
a@@e , anda
charmed@ , featherA
@@@the , bustle
@msic , asbig
is@ , asa
@soeet , draYes
Polly , woul@
love , ador
Poly , erfo
love@ , @ever
pragive , Andurse
me@ , her
@yurh@and , bynihtand
And , @by
prome , @dayI
you@@ , would
will , take
marry , @her@
me , to
when , ball
cometo , ro@@ts
old , and
@@@Enand , racesAnd
give , reat
you , her
@@my , with
ri@@ghtandIll , biscuitandeWe
not , so@
ma@@@rried , happywould
be , be
Till , @i@n
you@ , @our
@comeom , placeAs
the , the
warsinHigh , @Pr@in@@ce
Germuy , @andth
Woebeto , Pricess
the , @of
wa@rs , Wales
tat , Iam
everthe , loneome
Forthey , @o@t@en
have@ , times
@presed , thinkof
my , my
@@@@Biy , motherA
@and , kind
manya , lovig
cle@ver@ , creature
ma@@@n , wasshe
For , And
@teyhave , Imcetain
@@presdmy , theresmny
@@Billy , another
no , So
@mor , good
@shalI , kindad
himsee , viruou
And , may
so , be
odis , Iges
@hisgavein , mopiga@but
High , like
@ermany , adonkey
drumstha@@t , comfothaveI
beat , when
is , at
covere , ho@@me
with , But@
green , @look
The , @as
pretty , sedate
lambs , @a@@s
a , a
sportin , @monkey
@much , Stuck
plesue , @upina
tobe@ , coner
seen , alon
ythe , Btif
brds , Ihad
othe , aife
hinde , handy
my , @I
downfllThe , wouldcoort
leaing , herall
ofmy , @@ay
true , @and
lovegevemewostof , @nigtSheholdsmke
alH , aca
@@Dsley , anddrin
Printer , bran@dy
